1;1.7976931348623157E308;[];####0.0
58;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

59;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

60;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

61;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

62;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

63;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

64;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

65;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

66;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

67;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

68;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

69;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

70;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

71;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

72;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

73;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

74;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

75;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

76;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

77;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

78;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

79;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

80;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

81;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

82;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

83;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

84;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

85;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

86;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

87;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

88;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

89;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

90;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

91;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

92;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

93;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

94;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

95;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

96;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

97;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

98;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

99;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

100;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

101;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

102;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

103;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

104;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

105;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

106;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

107;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

108;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

109;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

110;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

111;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

112;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

113;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

114;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

115;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

116;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

117;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

118;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

119;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

120;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

121;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

122;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

123;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

124;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

125;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

126;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

127;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

128;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

129;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

130;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

131;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

132;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

133;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

134;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

135;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

136;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

137;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

138;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

139;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

140;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

141;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

142;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

143;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

144;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

145;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

146;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

147;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

148;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

149;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

150;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

151;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

152;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

153;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

154;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

155;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

156;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

157;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

158;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

159;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

160;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

161;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

162;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

163;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

164;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

165;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

166;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

167;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

168;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

169;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

170;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

171;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

172;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

173;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

174;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

175;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

176;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

177;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

178;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

179;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

180;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

181;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

182;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

183;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

184;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

185;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

